iter	Passed	Remaining
455	914	1090
456	915	1088
457	916	1084
458	917	1081
459	918	1078
460	920	1076
461	921	1073
462	925	1073
463	928	1072
464	930	1070
465	931	1067
466	932	1064
467	933	1061
468	934	1057
469	935	1054
470	936	1051
471	937	1049
472	944	1052
473	945	1049
474	946	1045
475	946	1042
476	947	1039
477	948	1036
478	949	1033
479	950	1029
480	951	1026
481	952	1023
482	956	1023
483	958	1021
484	959	1018
485	960	1016
486	961	1012
487	962	1009
488	964	1007
489	965	1004
490	966	1001
491	971	1002
492	972	999
493	973	996
494	974	994
495	975	991
496	976	988
497	977	985
498	978	982
499	979	979
500	980	976
501	980	972
502	981	969
503	987	971
504	988	968
505	989	965
506	990	962
507	991	959
508	992	957
509	993	954
510	994	951
511	995	948
512	996	946
513	1002	947
514	1003	944
515	1004	942
516	1005	939
517	1007	937
518	1008	934
519	1009	931
520	1010	929
521	1012	926
522	1017	927
523	1018	924
524	1019	922
525	1020	919
526	1022	917
527	1023	915
528	1024	912
529	1025	909
530	1026	906
531	1027	904
532	1032	905
533	1033	902
534	1035	899
535	1035	896
536	1036	893
537	1037	891
538	1039	888
539	1040	886
540	1041	883
541	1043	881
542	1050	883
543	1051	881
544	1052	878
545	1053	875
546	1054	873
547	1055	870
548	1057	868
549	1058	866
550	1063	866
551	1065	864
552	1066	862
553	1067	859
554	1068	856
555	1069	853
556	1070	851
557	1071	848
558	1072	845
559	1072	842
560	1073	840
561	1077	839
562	1079	837
563	1080	835
564	1081	832
565	1082	830
566	1083	827
567	1084	824
568	1085	822
569	1086	819
570	1087	817
571	1088	814
572	1089	811
573	1093	811
574	1095	809
575	1096	806
576	1097	804
577	1098	801
578	1099	799
579	1100	796
580	1101	794
581	1102	791
582	1103	789
583	1104	786
584	1108	786
585	1109	783
586	1110	781
587	1111	778
588	1113	777
589	1114	774
590	1115	772
591	1116	769
592	1117	766
593	1118	764
594	1119	761
595	1122	761
596	1124	758
597	1125	756
598	1126	754
599	1127	751
600	1128	749
601	1129	746
602	1130	744
603	1131	741
604	1132	739
605	1133	736
606	1133	734
607	1134	731
608	1139	731
609	1141	729
610	1142	727
611	1143	724
612	1144	722
613	1144	719
614	1145	717
615	1146	714
616	1147	712
617	1148	709
618	1149	707
619	1150	705
620	1154	704
621	1155	702
622	1157	700
623	1158	697
624	1159	695
625	1159	692
626	1160	690
627	1161	688
628	1162	685
629	1163	683
630	1164	680
631	1165	678
632	1166	676
633	1167	674
634	1169	672
635	1170	669
636	1171	667
637	1172	665
638	1172	662
639	1173	660
640	1174	657
641	1175	655
642	1176	653
643	1177	650
644	1181	650
645	1183	648
646	1183	645
647	1184	643
648	1185	641
649	1186	638
650	1187	636
651	1188	634
652	1188	631
653	1189	629
654	1190	627
655	1191	624
656	1194	623
657	1196	621
658	1198	619
659	1200	618
660	1201	616
661	1202	613
662	1203	611
663	1203	609
664	1204	606
665	1205	604
666	1206	602
667	1210	601
668	1211	599
669	1212	597
670	1213	594
671	1214	592
672	1215	590
673	1215	588
674	1216	585
675	1218	583
676	1218	581
677	1219	579
678	1220	577
679	1221	574
680	1225	573
681	1226	571
682	1227	569
683	1228	567
684	1229	565
685	1230	563
686	1230	560
687	1231	558
688	1232	556
689	1233	554
690	1234	551
691	1235	549
692	1236	547
693	1237	545
694	1242	545
695	1243	543
696	1244	541
697	1245	539
698	1246	536
699	1248	534
700	1249	532
701	1250	530
702	1251	528
703	1252	526
